company,title,link,timestamp
Apple,Apple’s switch to USB-C resurfaces the need to label the cables,https://techcrunch.com/2023/09/13/apples-switch-to-usb-c-resurfaces-the-need-to-label-the-cables/,2024-07-27
Apple,"Apple’s iOS 17 arrives Monday, September 18",https://techcrunch.com/2023/09/12/apples-ios-17-arrives-monday-sept-18/,2024-07-27
Apple,Why one founder thinks the Apple Vision Pro is going to make it,https://techcrunch.com/podcast/apple-vision-pro-and-the-innovators-dilemma/,2024-07-27
Apple,WSJ says the Goldman-Apple deal is dead. Apple says not yet.,https://techcrunch.com/2023/11/29/wsj-says-the-goldman-apple-deal-is-dead-apple-says-not-yet/,2024-07-27
Apple,iOS 18 could ‘sherlock’ $400M in app revenue,https://techcrunch.com/2024/07/16/ios-18-could-sherlock-400m-in-app-revenue/,2024-07-27
Apple,Apple rejects Spotify’s update with pricing information for EU users,https://techcrunch.com/2024/04/24/spotify-submits-a-new-update-to-apple-with-pricing-information-for-eu-users/,2024-07-27
Apple,Apple’s Vision Pro is here: These are some of the most exciting indie apps and games,https://techcrunch.com/2024/03/22/apple-vision-pro-apps/,2024-07-27
Apple,YouTube’s free games catalog ‘Playables’ rolls out to all users,https://techcrunch.com/2024/05/28/youtubes-free-games-catalog-playables-rolls-out-to-all-users/,2024-07-27
Apple,Is Apple planning to ‘sherlock’ Arc?,https://techcrunch.com/2024/05/29/is-apple-planning-to-sherlock-arc/,2024-07-27
Apple,Apple restarts talks for Apple Pay launch in India,https://techcrunch.com/2023/06/22/apple-looks-to-resume-talks-for-apple-pay-launch-in-india/,2024-07-27
Apple,"Apple’s  €1.84B fine, new AI rules in India and the latest pre-IPO round",https://techcrunch.com/podcast/apple-84b-fine-eu-antitrust/,2024-07-27
Apple,Apple’s job listings suggest it plans to infuse AI in multiple products,https://techcrunch.com/2023/10/23/apples-job-listings-suggest-it-plans-to-infuse-ai-in-multiple-products/,2024-07-27
Apple,Spotify calls Apple’s DMA compliance plan ‘extortion’ and a ‘complete and total farce’,https://techcrunch.com/2024/01/26/spotify-calls-apples-dma-compliance-plan-extortion-and-a-complete-and-total-farce/,2024-07-27
Apple,"Apple’s reluctant, punitive compliance with regulators will burn its political and developer goodwill",https://techcrunch.com/2024/01/26/apples-reluctant-punitive-compliance-with-regulators-will-burn-its-political-and-developer-goodwill/,2024-07-27
Apple,Apple’s answer to EU’s gatekeeper rules is new ‘core tech’ fee for apps,https://techcrunch.com/2024/01/25/apple-dma-changes/,2024-07-27
Apple,Apple will pay artists more to have a spatial audio version on Apple Music,https://techcrunch.com/2024/01/22/apple-will-pay-artists-more-to-have-a-spatial-audio-version-on-apple-music/,2024-07-27
Apple,"Sorry, but Apple’s Vision Pro isn’t for you",https://techcrunch.com/2023/06/06/sorry-but-apples-vision-pro-isnt-for-you/,2024-07-27
Apple,The Apple Car that never was: A timeline,https://techcrunch.com/2024/02/28/the-apple-car-that-never-was-a-timeline/,2024-07-27
Apple,Apple’s Spotlight Search gets better at natural language queries in iOS 18,https://techcrunch.com/2024/06/13/apples-spotlight-search-gets-better-at-natural-language-queries-in-ios-18/,2024-07-27
Apple,TechCrunch Minute: Apple’s Genmoji will let you generate infinitely customizable emojis,https://techcrunch.com/video/techcrunch-minute-apples-genmoji-will-let-you-generate-infinitely-customizable-emojis/,2024-07-27
Apple,What to expect from Apple’s AI-powered iOS 18 at WWDC 2024,https://techcrunch.com/2024/06/06/what-to-expect-from-apples-ai-powered-ios-18-at-wwdc-2024/,2024-07-27
Apple,Three things we learned about Apple’s AI plans from its earnings,https://techcrunch.com/2024/05/03/three-things-we-learned-about-apples-ai-plans-from-its-earnings/,2024-07-27
Apple,Ex-NSA hacker and ex-Apple researcher launch startup to protect Apple devices,https://techcrunch.com/2024/04/25/ex-nsa-ex-apple-researcher-doubleyou/,2024-07-27
Apple,Apple introduces 20 more games to Apple Arcade,https://techcrunch.com/2023/05/04/apple-introduces-20-new-games-to-apple-arcade/,2024-07-27
Apple,The Apple Watch Series 9 will come in pink,https://techcrunch.com/2023/09/12/the-apple-watch-series-9-will-come-in-pink/,2024-07-27
Apple,MacPaw’s Setapp becomes one of the first to agree to Apple’s controversial DMA rules,https://techcrunch.com/2024/02/29/macpaws-setapp-becomes-one-of-the-first-to-agree-to-apples-controversial-dma-rules/,2024-07-27
Apple,"Tinder goes ultra-premium, Amazon invests in Anthropic and Apple explains its new AirPods",https://techcrunch.com/2023/09/30/tinder-goes-ultra-premium-amazon-invests-in-anthropic-and-apple-explains-its-new-airpods/,2024-07-27
Apple,"With double tap, you can interact with your Apple Watch when your other hand is busy",https://techcrunch.com/2023/09/12/with-double-tap-you-can-interact-with-your-apple-watch-when-your-other-hand-is-busy/,2024-07-27
Apple,Meta Quest adds support for Apple’s Spatial Video ahead of Vision Pro launch,https://techcrunch.com/2024/02/01/meta-quest-adds-support-for-apples-spatial-video-ahead-of-vision-pro-launch/,2024-07-27
Apple,Apple offers EU set of pledges aimed at settling Apple Pay antitrust probe,https://techcrunch.com/2024/01/19/apple-pay-eu-commitments/,2024-07-27
